detected_id,filename,det_lines,error_description
E007,AddressController,"(44, 44)","Incorrect @PostMapping consumes='text/plain' for JSON @RequestBody AddressRequest; prevents JSON parsing and validation, should use 'application/json'."
E009,AddressController,"(52, 52)",Missing @Validated(Update.class) on @RequestBody AddressRequest in update method; bypasses validation constraints for partial updates.
E008,UserController,"(47, 51)",Missing @Validated(Create.class) or @Valid on @RequestBody UserRequest in create method; input validation bypassed allowing invalid users.
E015,UserController,"(59, 62)",Missing @PreAuthorize on delete method; security vulnerability allows any authenticated user to delete any user account.
E001,UserMapper,"(53, 56)",Double password encoding in updateUserEntityFromUserRequest @Mapping expression; passwordEncoder.encode(passwordEncoder.encode(dto.password())) produces invalid hash unmatchable on login.
E012,AddressServiceImpl,"(67, 68)",Inconsistent Optional handling: addressRepository.findById(addressId).get() throws NoSuchElementException instead of ResourceNotFoundException if address not found.
E003,AddressServiceImpl,"(86, 89)",Critical logic error in save method: creates Address entity but omits addressRepository.save(); returns unsaved AddressResponse with null ID.
E004,UserServiceImpl,"(74, 82)","Incorrect pagination in listAll: fetches all users into full list for PageImpl content, ignores pageable slicing; always returns complete dataset."
E013,UserServiceImpl,"(102, 103)",Critical SQL injection vulnerability: native query concatenates unescaped 'username' directly; exploitable via malicious input.
E010,UserServiceImpl,"(181, 182)","checkLogin uses Optional.get() on findByUsername; throws NoSuchElementException for non-existent users instead of UnauthorizedException, leaking existence."
E002,UserServiceImpl,"(163, 173)",Logic error in delete method: loads user entity but omits userRepository.delete(); logs deletion without performing it.
